,Symbol,Name,Price,Change %,Volume,Rel Volume,Market cap,P/E,EPS dil,EPS dil growth,Div yield %,Sector,Analyst Rating
2044,HLT,Hilton Worldwide Holdings Inc.,180.50 USD,+0.98%,1.407M,1.16,46.287B USD,36.42,4.96 USD,+28.75%,0.33%,Consumer Services,Buy
2045,HLTH,Cue Health Inc.,0.2051 USD,−2.66%,837.108K,0.19,31.715M USD,—,−1.69 USD,−81.44%,0.00%,Health Technology,Buy
2046,HLVX,"HilleVax, Inc.",15.19 USD,−0.65%,73K,0.52,735.758M USD,—,−2.83 USD,+50.88%,0.00%,Health Technology,Strong buy
2047,HLX,"Helix Energy Solutions Group, Inc.",9.62 USD,+2.01%,1.8M,0.77,1.45B USD,73.32,0.13 USD,—,0.00%,Industrial Services,Buy
2048,HMN,Horace Mann Educators Corporation,33.23 USD,−0.15%,129.195K,0.74,1.357B USD,—,−0.31 USD,−123.44%,3.97%,Finance,Neutral
2049,HMNF,"HMN Financial, Inc.",23.20 USD,0.00%,6.087K,1.72,104.107M USD,14.64,1.58 USD,—,1.29%,Finance,—
2050,HMST,"HomeStreet, Inc.",10.19 USD,+3.03%,361.759K,1.88,191.674M USD,—,−0.83 USD,—,6.38%,Finance,Neutral
2051,HNI,HNI Corporation,40.52 USD,−1.51%,261.664K,1.11,1.887B USD,43.54,0.93 USD,−66.06%,3.16%,Producer Manufacturing,Strong buy
2052,HNNA,"Hennessy Advisors, Inc.",7.28 USD,−2.11%,7.993K,0.42,55.89M USD,11.61,0.63 USD,−23.43%,7.55%,Finance,—
2053,HNRA,HNR Acquisition Corp,2.05 USD,+0.99%,6.717K,0.25,10.449M USD,—,−0.03 USD,+54.17%,0.00%,Energy Minerals,—
2054,HNRG,Hallador Energy Company,9.28 USD,−1.80%,276.972K,0.47,307.561M USD,3.86,2.41 USD,—,0.00%,Energy Minerals,Neutral
2055,HNST,"The Honest Company, Inc.",2.87 USD,−0.35%,695.189K,0.85,273.997M USD,—,−0.57 USD,−14.34%,0.00%,Retail Trade,Neutral
2056,HNVR,"Hanover Bancorp, Inc.",17.51 USD,−0.79%,1.298K,0.41,125.554M USD,8.61,2.03 USD,—,2.28%,Finance,Strong buy
2057,HOFT,Hooker Furnishings Corporation,24.12 USD,−1.27%,109.908K,1.95,257.404M USD,—,−0.75 USD,−194.31%,3.69%,Consumer Durables,—
2058,HOFV,Hall of Fame Resort & Entertainment Company,3.62 USD,+4.32%,40.582K,1.33,23.295M USD,—,−12.07 USD,−250.50%,0.00%,Consumer Services,Strong buy
2059,HOG,"Harley-Davidson, Inc.",35.26 USD,+2.62%,2.2M,2.05,4.911B USD,7.17,4.92 USD,+2.08%,1.87%,Consumer Durables,Buy
2060,HOLI,"Hollysys Automation Technologies, Ltd.",26.45 USD,+1.54%,1.07M,1.06,1.64B USD,—,—,—,0.00%,Producer Manufacturing,Neutral
2061,HOLO,MicroCloud Hologram Inc.,0.2787 USD,−10.07%,1.296M,2.33,14.161M USD,—,—,—,0.00%,Electronic Technology,—
2062,HOLX,"Hologic, Inc.",72.95 USD,+0.11%,1.794M,1.19,17.508B USD,39.89,1.83 USD,−64.27%,0.00%,Health Technology,Buy
2063,HOMB,"Home BancShares, Inc.",24.33 USD,−0.33%,998.175K,0.97,4.909B USD,11.71,2.08 USD,—,2.96%,Finance,Buy
2064,HON,Honeywell International Inc.,203.53 USD,−0.67%,2.683M,1.07,134.177B USD,25.23,8.07 USD,+3.18%,2.05%,Electronic Technology,Buy
2065,HONE,"HarborOne Bancorp, Inc.",12.03 USD,+0.17%,180.583K,1.62,550.576M USD,16.28,0.74 USD,—,2.45%,Finance,Neutral
2066,HOOD,"Robinhood Markets, Inc.",11.89 USD,−0.75%,8.189M,0.58,10.282B USD,—,−0.82 USD,+44.21%,0.00%,Finance,Neutral
2067,HOOK,HOOKIPA Pharma Inc.,0.7451 USD,−0.85%,594.687K,0.05,62.551M USD,—,−0.89 USD,+43.04%,0.00%,Health Technology,Strong buy
2068,HOPE,"Hope Bancorp, Inc.",11.78 USD,+0.60%,868.733K,1.30,1.415B USD,8.91,1.32 USD,—,4.75%,Finance,Neutral
2069,HOTH,"Hoth Therapeutics, Inc.",1.36 USD,−4.90%,61.02K,0.07,5.911M USD,—,—,—,0.00%,Health Technology,Strong buy
2070,HOUR,"Hour Loop, Inc.",1.39 USD,−0.70%,2.457K,0.80,48.748M USD,—,−0.08 USD,−246.37%,0.00%,Retail Trade,Neutral
2071,HOUS,Anywhere Real Estate Inc.,7.44 USD,−1.33%,665.141K,0.82,822.03M USD,—,−4.07 USD,−324.25%,0.00%,Finance,Sell
2072,HOV,"Hovnanian Enterprises, Inc.",154.32 USD,+4.33%,74.797K,1.11,947.094M USD,5.74,26.88 USD,−10.98%,0.00%,Consumer Durables,—
2073,HOWL,"Werewolf Therapeutics, Inc.",5.36 USD,+2.10%,353.154K,1.55,193.99M USD,—,−1.11 USD,+48.35%,0.00%,Health Technology,Strong buy
2074,HP,"Helmerich & Payne, Inc.",35.28 USD,+0.17%,1.03M,0.94,3.508B USD,8.50,4.15 USD,+7065.80%,5.31%,Industrial Services,Buy
2075,HPCO,"Hempacco Co., Inc.",0.3585 USD,−5.48%,41.683K,0.24,10.37M USD,—,−0.44 USD,−277.55%,0.00%,Consumer Non-Durables,—
2076,HPE,Hewlett Packard Enterprise Company,17.17 USD,+1.00%,13.78M,1.85,22.321B USD,11.16,1.54 USD,+136.79%,2.85%,Electronic Technology,Neutral
2077,HPK,"HighPeak Energy, Inc.",14.19 USD,+0.57%,483.942K,1.09,1.822B USD,9.85,1.44 USD,−15.76%,0.70%,Energy Minerals,Buy
2078,HPQ,HP Inc.,29.95 USD,+0.91%,6.926M,1.06,29.678B USD,9.10,3.29 USD,+11.92%,3.55%,Electronic Technology,Buy
2079,HQI,"HireQuest, Inc.",14.33 USD,−0.90%,21.439K,1.14,199.187M USD,22.35,0.64 USD,−26.52%,1.67%,Commercial Services,Strong buy
2080,HQY,"HealthEquity, Inc.",67.95 USD,−0.92%,799.524K,1.28,5.83B USD,202.23,0.34 USD,—,0.00%,Finance,Strong buy
2081,HRB,"H&R Block, Inc.",46.77 USD,−1.97%,1.634M,1.62,6.732B USD,13.33,3.51 USD,+8.10%,2.61%,Consumer Services,Neutral
2082,HRI,Herc Holdings Inc.,138.52 USD,−1.71%,155.199K,1.11,3.916B USD,11.38,12.17 USD,+21.40%,1.83%,Finance,Buy
2083,HRL,Hormel Foods Corporation,32.16 USD,−0.50%,1.842M,0.78,17.586B USD,22.25,1.45 USD,−20.56%,3.42%,Consumer Non-Durables,Sell
2084,HRMY,"Harmony Biosciences Holdings, Inc.",31.98 USD,+0.13%,696.222K,1.82,1.873B USD,12.96,2.47 USD,−3.40%,0.00%,Health Technology,Buy
2085,HROW,"Harrow, Inc.",10.54 USD,−2.23%,467.523K,1.07,370.141M USD,—,−0.45 USD,+45.73%,0.00%,Health Technology,Strong buy
2086,HRT,HireRight Holdings Corporation,12.68 USD,+0.40%,172.068K,0.55,857.735M USD,125.42,0.10 USD,−93.09%,0.00%,Commercial Services,Neutral
2087,HRTG,"Heritage Insurance Holdings, Inc.",6.35 USD,+0.95%,418.303K,0.93,190.928M USD,6.01,1.06 USD,—,0.00%,Finance,Buy
2088,HRTX,"Heron Therapeutics, Inc.",1.77 USD,+2.31%,1.719M,0.78,265.629M USD,—,−0.97 USD,+53.74%,0.00%,Health Technology,Strong buy
2089,HRYU,"Hanryu Holdings, Inc.",0.9400 USD,+14.36%,577.682K,0.91,49.64M USD,—,—,—,0.00%,Technology Services,—
2090,HRZN,Horizon Technology Finance Corporation,13.62 USD,+0.07%,219.273K,1.01,453.961M USD,—,−0.03 USD,−103.28%,9.69%,Miscellaneous,Neutral
2091,HSCS,"Heart Test Laboratories, Inc.",0.1674 USD,+5.35%,40.15M,15.76,1.877M USD,—,−0.61 USD,−7.00%,0.00%,Health Technology,Strong buy
2092,HSDT,"Helius Medical Technologies, Inc.",7.75 USD,0.00%,2.04K,0.20,5.489M USD,—,−21.49 USD,+87.89%,0.00%,Health Technology,Strong buy
2093,HSIC,"Henry Schein, Inc.",73.90 USD,−1.20%,1.564M,2.08,9.602B USD,22.00,3.36 USD,−26.90%,0.00%,Distribution Services,Neutral
2094,HSII,"Heidrick & Struggles International, Inc.",27.31 USD,+0.29%,157.244K,1.37,549.538M USD,10.11,2.70 USD,−27.44%,2.20%,Commercial Services,Buy
2095,HSON,"Hudson Global, Inc.",16.15 USD,+1.57%,8.877K,1.40,45.463M USD,33.16,0.49 USD,−83.34%,0.00%,Commercial Services,—
2096,HSPO,Horizon Space Acquisition I Corp.,10.73 USD,+0.03%,180.098K,5.23,98.831M USD,—,—,—,0.00%,Finance,—
2097,HSTM,"HealthStream, Inc.",26.16 USD,−1.10%,77.97K,0.87,792.264M USD,61.51,0.43 USD,+40.97%,0.38%,Technology Services,Buy
2098,HSY,The Hershey Company,187.64 USD,−1.50%,1.238M,0.82,38.372B USD,20.23,9.28 USD,+21.17%,2.37%,Consumer Non-Durables,Buy
2099,HTBI,"HomeTrust Bancshares, Inc.",26.35 USD,+0.65%,41.48K,1.48,458.05M USD,8.58,3.07 USD,—,1.56%,Finance,Buy
2100,HTBK,Heritage Commerce Corp,9.74 USD,0.00%,509.382K,1.44,595.106M USD,8.31,1.17 USD,—,5.34%,Finance,Buy
2101,HTCR,"Heartcore Enterprises, Inc.",0.6140 USD,−5.09%,16.826K,0.34,12.797M USD,—,−0.14 USD,+59.14%,0.00%,Technology Services,—
2102,HTGC,"Hercules Capital, Inc.",17.22 USD,+0.64%,924.233K,1.03,2.603B USD,8.63,2.00 USD,+528.23%,9.18%,Finance,Buy
2103,HTH,Hilltop Holdings Inc.,34.19 USD,+1.45%,446.512K,1.37,2.228B USD,20.85,1.64 USD,—,1.87%,Finance,Neutral
2104,HTLD,"Heartland Express, Inc.",13.63 USD,+0.74%,420.267K,1.20,1.077B USD,42.81,0.32 USD,−81.84%,0.59%,Transportation,Neutral
2105,HTLF,"Heartland Financial USA, Inc.",37.64 USD,+1.65%,233.426K,1.48,1.606B USD,7.93,4.75 USD,—,3.19%,Finance,Buy
2106,HTOO,Fusion Fuel Green PLC,1.13 USD,+3.67%,46.141K,0.60,16.858M USD,—,—,—,0.00%,Process Industries,Buy
2107,HTZ,"Hertz Global Holdings, Inc",9.54 USD,−2.15%,4.097M,1.15,2.937B USD,3.22,2.96 USD,+61.92%,0.00%,Finance,Buy
2108,HUBB,Hubbell Inc,318.16 USD,−0.56%,355.841K,1.22,17.06B USD,24.83,12.81 USD,+21.78%,1.44%,Producer Manufacturing,Buy
2109,H,HUBC,2.13 USD,−8.97%,160.725K,0.45,20.898M USD,—,—,—,0.00%,Commercial Services,—
2110,HUBG,"Hub Group, Inc.",88.41 USD,−0.96%,185.892K,0.82,2.809B USD,13.19,6.70 USD,−37.30%,0.00%,Transportation,Buy
2111,HUBS,"HubSpot, Inc.",537.84 USD,+1.43%,384.747K,1.01,27.07B USD,—,−3.60 USD,−51.51%,0.00%,Technology Services,Strong buy
2112,HUDA,Hudson Acquisition I Corp.,10.55 USD,0.00%,100,0.01,94.192M USD,—,−0.02 USD,+37.63%,0.00%,Finance,—
2113,HUDI,"Huadi International Group Co., Ltd.",3.06 USD,+2.00%,20.314K,0.54,43.572M USD,—,—,—,0.00%,Non-Energy Minerals,—
2114,HUM,Humana Inc.,458.27 USD,−1.77%,1.693M,1.30,56.418B USD,19.00,24.12 USD,+9.42%,0.77%,Health Services,Buy
2115,HUMA,"Humacyte, Inc.",2.61 USD,−2.61%,344.753K,0.90,270.331M USD,—,−0.87 USD,−367.39%,0.00%,Health Technology,Strong buy
2116,HUN,Huntsman Corporation,24.82 USD,+1.35%,2.257M,1.56,4.326B USD,54.72,0.45 USD,−91.54%,3.83%,Process Industries,Neutral
2117,HURC,"Hurco Companies, Inc.",22.75 USD,+5.67%,62.448K,4.97,147.014M USD,34.35,0.66 USD,−45.96%,2.81%,Producer Manufacturing,—
2118,HURN,Huron Consulting Group Inc.,99.42 USD,−1.38%,171.767K,1.60,1.864B USD,25.48,3.90 USD,−7.93%,0.00%,Commercial Services,Strong buy
2119,HUSA,Houston American Energy Corporation,1.75 USD,−2.78%,74.954K,0.61,19.086M USD,—,−0.02 USD,+81.88%,0.00%,Energy Minerals,—
2120,HVT,"Haverty Furniture Companies, Inc.",35.45 USD,+0.23%,142.67K,1.89,576.418M USD,9.15,3.88 USD,−23.90%,3.33%,Retail Trade,Strong buy
2121,HWBK,"Hawthorn Bancshares, Inc.",24.87 USD,−1.00%,10.598K,1.04,175.068M USD,13.34,1.86 USD,—,2.68%,Finance,—
2122,HWC,Hancock Whitney Corporation,46.60 USD,+0.24%,585.767K,1.25,4.015B USD,8.37,5.56 USD,—,2.58%,Finance,Buy
2123,HWKN,"Hawkins, Inc.",66.23 USD,−1.75%,108.205K,1.24,1.387B USD,20.17,3.28 USD,+18.03%,0.94%,Process Industries,Buy
2124,HWM,Howmet Aerospace Inc.,53.83 USD,+2.34%,4.007M,2.19,22.164B USD,35.18,1.53 USD,+50.22%,0.32%,Electronic Technology,Buy
2125,HXL,Hexcel Corporation,71.47 USD,+0.27%,563.13K,1.92,6.011B USD,37.97,1.88 USD,+47.83%,0.70%,Electronic Technology,Buy
2126,HY,"Hyster-Yale Materials Handling, Inc.",63.79 USD,+2.77%,129.15K,1.40,1.096B USD,10.19,6.26 USD,—,2.03%,Producer Manufacturing,Strong buy
2127,H,HYAC,10.30 USD,0.00%,23.47K,0.80,245.115M USD,—,—,—,0.00%,Finance,—
2128,HYFM,"Hydrofarm Holdings Group, Inc.",0.9061 USD,−0.43%,85.466K,0.42,41.463M USD,—,−1.87 USD,+67.82%,0.00%,Producer Manufacturing,Neutral
2129,HYLN,Hyliion Holdings Corp.,0.8227 USD,−1.81%,1.168M,0.57,150.381M USD,—,−0.69 USD,+22.42%,0.00%,Producer Manufacturing,Sell
2130,H,HYMC,2.38 USD,+2.59%,261.374K,1.00,48.108M USD,—,−0.99 USD,+91.09%,0.00%,Non-Energy Minerals,Neutral
2131,HYPR,"Hyperfine, Inc.",1.06 USD,−2.75%,56.356K,0.52,75.896M USD,—,−0.66 USD,+46.40%,0.00%,Health Technology,Buy
2132,HYZN,Hyzon Motors Inc.,0.7558 USD,−7.17%,634.622K,1.22,185.173M USD,—,−0.72 USD,−813.65%,0.00%,Consumer Durables,Neutral
2133,HZO,"MarineMax, Inc. (FL)",36.09 USD,+1.52%,230.063K,1.14,804.443M USD,7.38,4.89 USD,−44.74%,0.00%,Retail Trade,Buy
2134,IAC,IAC Inc.,52.00 USD,−0.08%,595.784K,1.08,4.464B USD,—,−1.23 USD,+90.74%,0.00%,Technology Services,Strong buy
2135,IART,Integra LifeSciences Holdings Corporation,42.06 USD,+1.57%,860.385K,1.79,3.288B USD,34.39,1.22 USD,−40.44%,0.00%,Health Technology,Neutral
2136,IAS,Integral Ad Science Holding Corp.,14.17 USD,−0.91%,1.334M,1.06,2.243B USD,264.37,0.05 USD,—,0.00%,Technology Services,Strong buy
2137,IBCP,Independent Bank Corporation,25.41 USD,−0.27%,107.059K,1.43,529.552M USD,8.92,2.85 USD,—,3.62%,Finance,Neutral
2138,IBEX,IBEX Limited,17.25 USD,−3.52%,119.624K,3.15,309.443M USD,12.84,1.34 USD,+3.45%,0.00%,Commercial Services,Buy
2139,I,IBIO,1.29 USD,−2.27%,49.73K,0.37,1.812M USD,—,−90.23 USD,+33.60%,0.00%,Health Technology,—
2140,IBKR,"Interactive Brokers Group, Inc.",87.92 USD,+0.83%,1.718M,1.65,37.014B USD,16.01,5.49 USD,+77.15%,0.45%,Finance,Buy
2141,IBM,International Business Machines Corporation,159.16 USD,−1.06%,4.199M,1.35,145.332B USD,21.12,7.54 USD,+449.42%,4.17%,Technology Services,Neutral
2142,IBOC,International Bancshares Corporation,51.67 USD,−0.42%,217.843K,0.81,3.207B USD,7.86,6.58 USD,—,2.44%,Finance,—
2143,IBP,"Installed Building Products, Inc.",174.26 USD,+1.56%,272.197K,1.90,4.951B USD,19.94,8.74 USD,+37.88%,0.76%,Industrial Services,Buy
2144,IBRX,"ImmunityBio, Inc.",4.41 USD,−8.70%,3.367M,0.83,2.945B USD,—,−1.05 USD,−4.39%,0.00%,Health Technology,Neutral
2145,IBTX,"Independent Bank Group, Inc",50.31 USD,+0.96%,170.729K,0.78,2.077B USD,30.28,1.66 USD,—,3.02%,Finance,Buy
2146,ICAD,icad inc.,1.81 USD,+1.12%,133.061K,0.57,47.698M USD,—,−0.40 USD,+32.41%,0.00%,Health Technology,Strong buy
2147,ICCC,ImmuCell Corporation,4.78 USD,+0.99%,2.861K,0.33,37.023M USD,—,−0.81 USD,−1080.84%,0.00%,Health Technology,—
2148,ICCH,"ICC Holdings, Inc.",15.93 USD,−0.36%,154,0.04,50.021M USD,10.23,1.56 USD,—,0.00%,Finance,—
2149,ICCM,IceCure Medical Ltd.,1.25 USD,+3.31%,210.616K,0.40,57.029M USD,—,—,—,0.00%,Health Technology,—
2150,I,ICCT,1.38 USD,+6.15%,216.684K,0.41,12.353M USD,—,−1.50 USD,−45.70%,0.00%,Technology Services,—
2151,ICD,"Independence Contract Drilling, Inc.",2.39 USD,+1.70%,24.496K,0.53,33.663M USD,—,−0.77 USD,+91.62%,0.00%,Industrial Services,Buy
2152,ICE,Intercontinental Exchange Inc.,125.79 USD,+0.14%,2.062M,0.83,71.998B USD,29.20,4.31 USD,−4.61%,1.34%,Finance,Buy
2153,ICFI,"ICF International, Inc.",128.95 USD,−2.41%,103.92K,0.98,2.426B USD,35.27,3.66 USD,+3.09%,0.43%,Commercial Services,Buy
2154,ICHR,Ichor Holdings,32.29 USD,+1.06%,131.4K,0.72,948.681M USD,—,−0.58 USD,−122.80%,0.00%,Producer Manufacturing,Buy
2155,ICLR,ICON plc,270.72 USD,+0.86%,551.353K,1.16,22.288B USD,43.61,6.21 USD,+10.35%,0.00%,Commercial Services,Strong buy
2156,ICMB,"Investcorp Credit Management BDC, Inc.",3.67 USD,+1.94%,50.867K,0.95,52.829M USD,—,−0.01 USD,−111.26%,13.62%,Finance,Neutral
2157,ICU,SeaStar Medical Holding Corporation,0.5220 USD,+4.21%,1.623M,0.91,21.988M USD,—,−3.06 USD,−1404.00%,0.00%,Health Technology,Strong buy
2158,ICUI,"ICU Medical, Inc.",97.62 USD,+0.67%,253.704K,0.85,2.357B USD,—,−1.17 USD,+24.95%,0.00%,Health Technology,Buy
2159,ICVX,"Icosavax, Inc.",15.61 USD,−0.83%,374.564K,0.48,781.91M USD,—,−2.22 USD,−1.59%,0.00%,Health Technology,Buy
2160,IDA,"IDACORP, Inc.",98.92 USD,+0.51%,358.246K,1.52,5.007B USD,18.46,5.36 USD,+8.77%,3.23%,Utilities,Buy
2161,IDAI,T Stamp Inc.,1.46 USD,+0.69%,21.14K,0.27,12.037M USD,—,−1.66 USD,−13.11%,0.00%,Technology Services,Strong buy
2162,IDCC,"InterDigital, Inc.",104.33 USD,−0.10%,204.634K,0.79,2.682B USD,14.54,7.17 USD,+165.23%,1.39%,Technology Services,Strong buy
2163,IDEX,"Ideanomics, Inc.",2.06 USD,+10.48%,275.025K,0.77,24.603M USD,—,−54056.39 USD,−72703.21%,0.00%,Consumer Durables,—
2164,IDN,"Intellicheck, Inc.",1.67 USD,−0.60%,43.061K,0.70,32.322M USD,—,−0.17 USD,+24.34%,0.00%,Technology Services,Buy
2165,IDR,"Idaho Strategic Resources, Inc.",6.08 USD,−1.78%,13.837K,0.88,74.52M USD,51.39,0.12 USD,—,0.00%,Non-Energy Minerals,—
2166,IDT,IDT Corporation,33.50 USD,−1.44%,98.997K,1.36,842.87M USD,22.99,1.46 USD,−6.23%,0.00%,Communications,—
2167,IDXX,"IDEXX Laboratories, Inc.",537.36 USD,−0.21%,387.506K,1.21,44.629B USD,54.83,9.80 USD,+24.65%,0.00%,Health Technology,Buy
2168,IDYA,"IDEAYA Biosciences, Inc.",34.30 USD,−0.90%,381.776K,0.60,2.211B USD,—,−1.95 USD,−42.27%,0.00%,Health Technology,Strong buy
2169,IE,Ivanhoe Electric Inc.,9.98 USD,−0.70%,730.488K,1.82,1.188B USD,—,−1.97 USD,—,0.00%,Non-Energy Minerals,Strong buy
2170,IEP,Icahn Enterprises L.P. - Depositary,17.74 USD,−1.06%,653.806K,0.58,7.288B USD,—,−2.22 USD,−53.61%,33.82%,Energy Minerals,Strong buy
2171,IESC,"IES Holdings, Inc.",76.84 USD,−2.10%,44.846K,0.78,1.552B USD,16.95,4.53 USD,+214.91%,0.00%,Industrial Services,—
2172,IEX,IDEX Corporation,211.18 USD,0.00%,217.058K,0.59,15.971B USD,25.96,8.14 USD,+7.63%,1.19%,Producer Manufacturing,Buy
2173,I,IFB,0.5950 USD,−2.95%,393.719K,0.23,4.085M USD,—,−6.69 USD,−47.25%,0.00%,Technology Services,—
2174,IFF,"International Flavors & Fragrances, Inc.",79.97 USD,+0.53%,1.215M,1.11,20.415B USD,444.28,0.18 USD,—,4.05%,Consumer Non-Durables,Neutral
2175,IFIN,InFinT Acquisition Corporation,11.25 USD,+0.54%,11.764K,1.94,148.967M USD,68.81,0.16 USD,—,0.00%,Finance,—
2176,IFRX,InflaRx N.V.,1.79 USD,−2.19%,403.667K,1.10,105.401M USD,—,—,—,0.00%,Health Technology,Strong buy
2177,IFS,Intercorp Financial Services Inc.,22.15 USD,+1.70%,21.103K,1.03,2.557B USD,8.15,2.72 USD,—,5.29%,Finance,Buy
2178,IGC,"IGC Pharma, Inc.",0.2829 USD,−1.19%,84.594K,0.38,18.03M USD,—,−0.20 USD,+26.31%,0.00%,Health Technology,—
2179,IGIC,International General Insurance Holdings Ltd.,12.96 USD,+1.01%,141.539K,2.23,565.322M USD,5.50,2.36 USD,+68.16%,0.31%,Finance,Strong buy
2180,IGMS,"IGM Biosciences, Inc.",10.11 USD,+14.37%,520.47K,2.02,590.364M USD,—,−4.99 USD,+12.22%,0.00%,Health Technology,Buy
2181,IGT,International Game Technology,25.66 USD,+1.62%,970.663K,1.03,5.191B USD,53.15,0.48 USD,−72.60%,3.12%,Consumer Services,Buy
2182,IGTA,Inception Growth Acquisition Limited,10.70 USD,0.00%,671,0.02,59.796M USD,88.36,0.12 USD,—,0.00%,Finance,—
2183,IHRT,"iHeartMedia, Inc.",2.44 USD,+1.67%,1.434M,1.67,300.875M USD,—,−6.93 USD,−350.43%,0.00%,Consumer Services,Neutral
2184,IHS,IHS Holding Limited,4.39 USD,−2.44%,369.535K,0.90,1.457B USD,—,−5.25 USD,−522.21%,0.00%,Industrial Services,Strong buy
2185,III,"Information Services Group, Inc.",4.58 USD,+0.88%,122.044K,1.50,223.841M USD,17.25,0.27 USD,−29.05%,3.82%,Commercial Services,Strong buy
2186,IIIN,"Insteel Industries, Inc.",36.19 USD,+0.64%,123.732K,1.05,704.341M USD,21.84,1.66 USD,−73.98%,0.33%,Producer Manufacturing,Strong buy
2187,IIIV,"i3 Verticals, Inc.",20.28 USD,+1.00%,168.578K,1.02,676.66M USD,—,−0.10 USD,+87.25%,0.00%,Technology Services,Buy
2188,IINN,Inspira Technologies Oxy B.H.N. Ltd.,0.8750 USD,−4.89%,270.993K,0.06,13.696M USD,—,−0.98 USD,+45.32%,0.00%,Health Technology,Strong buy
2189,IKNA,"Ikena Oncology, Inc.",1.82 USD,−8.08%,72.465K,0.53,87.83M USD,—,−1.62 USD,−12.38%,0.00%,Health Technology,Strong buy
2190,IKT,"Inhibikase Therapeutics, Inc.",1.34 USD,0.00%,15.407K,0.17,8.274M USD,—,−3.96 USD,+11.60%,0.00%,Health Technology,Strong buy
2191,ILAG,Intelligent Living Application Group Inc.,0.7300 USD,−3.93%,34.655K,0.64,13.184M USD,—,−0.23 USD,−120.98%,0.00%,Consumer Durables,—
2192,ILMN,"Illumina, Inc.",130.48 USD,−0.72%,1.638M,0.95,20.72B USD,—,−7.12 USD,+73.09%,0.00%,Health Technology,Buy
2193,IMAQ,International Media Acquisition Corp.,11.35 USD,+0.35%,3.873K,1.18,95.983M USD,—,−0.07 USD,—,0.00%,Finance,—
2194,IMAX,Imax Corporation,15.19 USD,+1.33%,909.283K,0.99,829.482M USD,33.14,0.46 USD,—,0.00%,Consumer Durables,Buy
2195,IMGN,"ImmunoGen, Inc.",29.65 USD,+0.44%,5.663M,1.16,8.283B USD,—,−0.30 USD,+63.42%,0.00%,Health Technology,Neutral
2196,IMKTA,"Ingles Markets, Incorporated",88.28 USD,−0.28%,98.116K,1.50,1.644B USD,7.91,11.16 USD,−22.74%,0.75%,Retail Trade,—
2197,IMMR,Immersion Corporation,6.89 USD,−0.14%,330.805K,1.25,219.378M USD,5.99,1.15 USD,+217.75%,1.74%,Electronic Technology,Buy
2198,IMMX,"Immix Biopharma, Inc.",6.24 USD,+3.14%,203.877K,0.91,123.971M USD,—,−0.93 USD,+54.20%,0.00%,Health Technology,Strong buy
2199,IMNM,"Immunome, Inc.",11.12 USD,−3.64%,282.564K,0.93,475.156M USD,—,−1.86 USD,+39.15%,0.00%,Health Technology,Strong buy
2200,IMNN,"Imunon, Inc.",0.6948 USD,−0.73%,11.427K,0.09,6.531M USD,—,−3.43 USD,+76.35%,0.00%,Health Technology,Strong buy
2201,IMPP,Imperial Petroleum Inc.,2.86 USD,−1.04%,644.607K,0.64,48.87M USD,0.08,37.53 USD,—,0.00%,Transportation,—
2202,IMRX,Immuneering Corporation,6.52 USD,−3.69%,55.387K,0.78,190.835M USD,—,−1.87 USD,−2.74%,0.00%,Health Technology,Strong buy
2203,IMTE,Integrated Media Technology Limited,2.92 USD,−1.68%,10.331K,0.62,6.274M USD,—,−0.26 USD,+82.60%,0.00%,Electronic Technology,—
2204,IMTX,Immatics N.V.,10.42 USD,−2.80%,189.319K,0.59,837.746M USD,—,—,—,0.00%,Health Technology,Strong buy
2205,IMUX,"Immunic, Inc.",1.39 USD,−2.80%,18.481M,60.29,62.752M USD,—,−3.26 USD,−9.97%,0.00%,Health Technology,Buy
2206,IMVT,"Immunovant, Inc.",42.78 USD,+10.00%,2.902M,1.39,6.189B USD,—,−1.96 USD,−28.97%,0.00%,Health Technology,Strong buy
2207,IMXI,"International Money Express, Inc.",21.42 USD,−1.65%,160.697K,0.89,746.852M USD,14.38,1.49 USD,+1.15%,0.00%,Commercial Services,Buy
2208,INAB,"IN8bio, Inc.",1.39 USD,0.00%,130.116K,0.51,44.468M USD,—,−1.12 USD,+17.70%,0.00%,Health Technology,Strong buy
2209,INAQ,Insight Acquisition Corp.,10.74 USD,+0.37%,194,0.24,75.19M USD,139.48,0.08 USD,−79.92%,0.00%,Finance,—
2210,INBK,First Internet Bancorp,24.75 USD,+1.68%,66.004K,2.08,213.931M USD,21.15,1.17 USD,—,0.97%,Finance,Buy
2211,INBS,Intelligent Bio Solutions Inc.,0.3166 USD,+5.74%,909.374K,0.80,2.765M USD,—,−8.37 USD,+22.94%,0.00%,Health Services,—
2212,INBX,"Inhibrx, Inc.",35.48 USD,−4.19%,935.093K,1.41,1.678B USD,—,−4.24 USD,−31.79%,0.00%,Health Technology,Strong buy
2213,INCY,Incyte Corporation,65.26 USD,−2.00%,1.943M,1.17,14.625B USD,34.67,1.88 USD,−52.17%,0.00%,Health Technology,Buy
2214,INDB,Independent Bank Corp.,63.68 USD,+0.47%,192.954K,1.04,2.787B USD,10.90,5.84 USD,—,3.45%,Finance,Neutral
2215,INDI,"indie Semiconductor, Inc.",7.08 USD,+0.14%,2.864M,1.34,1.277B USD,—,−0.91 USD,−68.64%,0.00%,Electronic Technology,Strong buy
2216,INDO,Indonesia Energy Corporation Limited,2.95 USD,+0.34%,26.255K,0.54,29.921M USD,—,—,—,0.00%,Energy Minerals,—
